,zip_code,beschikbare_capaciteit_invoeding_huidig_mva,beschikbare_capaciteit_afname_huidig_mva,station_lat,station_long,center_vlak_lat,center_vlak_long,area_vlak,distance_to_station,name
0,1114 BC,138.0,35.0,52.31606108815083,4.932219806573727,52.316068890015835,4.932212789480324,1482.1332226935765,0.9900073478564001,OS BIJLMER NOORD
1,1114 BC,138.0,35.0,52.31606108815083,4.932219806573727,52.309028050716954,4.936035219384919,124896.5220820207,823.9272805158198,OS BIJLMER NOORD
2,1114 BC,138.0,35.0,52.31606108815083,4.932219806573727,52.30030832201221,4.942744312851759,21638.83563619288,1892.1334772700081,OS BIJLMER NOORD
3,1114 BC,138.0,35.0,52.31606108815083,4.932219806573727,52.30641575660089,4.93870773616147,54321.666438857625,1159.661477283365,OS BIJLMER NOORD
4,1114 BC,138.0,35.0,52.31606108815083,4.932219806573727,52.300198929472806,4.946171068392151,2461.251406934197,2002.6484175489213,OS BIJLMER NOORD
5,1114 BC,138.0,35.0,52.31606108815083,4.932219806573727,52.303499827621714,4.941291777195144,111383.05818914308,1526.8535701010285,OS BIJLMER NOORD
6,1114 BC,138.0,35.0,52.31606108815083,4.932219806573727,52.31160756522548,4.9349682316989325,591.3088050522022,529.2805621932505,OS BIJLMER NOORD
7,1114 BC,138.0,35.0,52.31606108815083,4.932219806573727,52.30723542802596,4.932091196616891,21740.781068738303,981.4075751248201,OS BIJLMER NOORD
8,1114 BC,138.0,35.0,52.31606108815083,4.932219806573727,52.30612645430896,4.934350080048565,102406.64082988974,1114.1330933145373,OS BIJLMER NOORD
9,1114 BC,138.0,35.0,52.31606108815083,4.932219806573727,52.30203841652898,4.937906933416793,124847.00198732653,1606.4711304830932,OS BIJLMER NOORD
10,1105 AR,99.0,5.0,52.295230214163375,4.9478709159297365,52.309028050716954,4.936035219384919,124896.5220820207,1732.5072562755886,OS BIJLMER ZUID
11,1105 AR,99.0,5.0,52.295230214163375,4.9478709159297365,52.30030832201221,4.942744312851759,21638.83563619288,663.6087526640031,OS BIJLMER ZUID
12,1105 AR,99.0,5.0,52.295230214163375,4.9478709159297365,52.30641575660089,4.93870773616147,54321.666438857625,1391.1137057340627,OS BIJLMER ZUID
13,1105 AR,99.0,5.0,52.295230214163375,4.9478709159297365,52.300198929472806,4.946171068392151,2461.251406934197,564.4586703229862,OS BIJLMER ZUID
14,1105 AR,99.0,5.0,52.295230214163375,4.9478709159297365,52.303499827621714,4.941291777195144,111383.05818914308,1022.594907226031,OS BIJLMER ZUID
15,1105 AR,99.0,5.0,52.295230214163375,4.9478709159297365,52.31160756522548,4.9349682316989325,591.3088050522022,2021.38027848819,OS BIJLMER ZUID
16,1105 AR,99.0,5.0,52.295230214163375,4.9478709159297365,52.30723542802596,4.932091196616891,21740.781068738303,1712.6804353614962,OS BIJLMER ZUID
17,1105 AR,99.0,5.0,52.295230214163375,4.9478709159297365,52.30612645430896,4.934350080048565,102406.64082988974,1520.9404358801148,OS BIJLMER ZUID
18,1105 AR,99.0,5.0,52.295230214163375,4.9478709159297365,52.30203841652898,4.937906933416793,124847.00198732653,1015.9683998946987,OS BIJLMER ZUID
19,1105 AR,99.0,5.0,52.295230214163375,4.9478709159297365,52.29154457995383,4.959664640781617,2625.4218929523017,900.7132137538439,OS BIJLMER ZUID
20,1105 AR,99.0,5.0,52.295230214163375,4.9478709159297365,52.291847602444385,4.960428167164668,1104.5614206363434,933.162149797816,OS BIJLMER ZUID
21,1105 AR,99.0,5.0,52.295230214163375,4.9478709159297365,52.291166731558405,4.961436510686953,6864.114959689093,1027.287883469125,OS BIJLMER ZUID
22,1105 AR,99.0,5.0,52.295230214163375,4.9478709159297365,52.2905657322203,4.959981667922456,9158.165922154854,973.3500878434312,OS BIJLMER ZUID
23,1105 AR,99.0,5.0,52.295230214163375,4.9478709159297365,52.28975648447517,4.960680403569409,7993.871575365712,1062.7342020635156,OS BIJLMER ZUID
24,1105 AR,99.0,5.0,52.295230214163375,4.9478709159297365,52.292092799720194,4.960982876877237,1309.3966455429545,957.5375304694471,OS BIJLMER ZUID
25,1105 AR,99.0,5.0,52.295230214163375,4.9478709159297365,52.291265419303485,4.95889632251249,5709.697227322313,869.8296087156094,OS BIJLMER ZUID
26,1105 AR,99.0,5.0,52.295230214163375,4.9478709159297365,52.29029297478024,4.962239820229993,4789.366995139235,1120.8783837684844,OS BIJLMER ZUID
27,1105 AR,99.0,5.0,52.295230214163375,4.9478709159297365,52.2885828277905,4.942852289762584,145.3345855634866,814.1572763447236,OS BIJLMER ZUID
28,1105 AR,99.0,5.0,52.295230214163375,4.9478709159297365,52.3026334973237,4.905351937983854,284.0419896224719,3006.2128656822697,OS BIJLMER ZUID
29,1105 AR,99.0,5.0,52.295230214163375,4.9478709159297365,52.28635242740746,4.919073910467842,30.28005780981554,2193.279743582588,OS BIJLMER ZUID
30,1105 AR,99.0,5.0,52.295230214163375,4.9478709159297365,52.30497963257993,4.922798139393738,1106.7791577693479,2020.3880753776425,OS BIJLMER ZUID
31,1105 AR,99.0,5.0,52.295230214163375,4.9478709159297365,52.29733332317624,4.920277795201032,1986.5635855194969,1890.970054666651,OS BIJLMER ZUID
32,1105 AR,99.0,5.0,52.295230214163375,4.9478709159297365,52.30090108770792,4.900726168570406,70.38546975156409,3267.3468578251527,OS BIJLMER ZUID
33,1105 AR,99.0,5.0,52.295230214163375,4.9478709159297365,52.30306012817513,4.910382493074691,225.0286913965271,2693.791827236684,OS BIJLMER ZUID
