,station,netbeheerder,status,totale_capaciteit_invoeding_mva,totale_capaciteit_afname_mva,beschikbare_capaciteit_invoeding_huidig_mva,beschikbare_capaciteit_afname_huidig_mva,verwacht_jaar_van_overbelasting_invoeding,verwacht_jaar_van_overbelasting_afname,investeringsplanning_vermogen_invoeding,investeringsplanning_vermogen_afname,investeringsplanning_tijd_invoeding,investeringsplanning_tijd_afname,beschikbare_capaciteit_invoeding_3_jaar_mva,beschikbare_capaciteit_afname_3_jaar_mva,beschikbare_capaciteit_invoeding_5_jaar_mva,beschikbare_capaciteit_afname_5_jaar_mva,beschikbare_capaciteit_invoeding_10_jaar_mva,beschikbare_capaciteit_afname_10_jaar_mva,peildatum,beschikbare_capaciteit_afname_3_jaar_mva_visualisatie,beschikbare_capaciteit_afname_5_jaar_mva_visualisatie,beschikbare_capaciteit_afname_10_jaar_mva_visualisatie,beschikbare_capaciteit_afname_huidig_mva_visualisatie,beschikbare_capaciteit_invoeding_3_jaar_mva_visualisatie,beschikbare_capaciteit_invoeding_5_jaar_mva_visualisatie,beschikbare_capaciteit_invoeding_10_jaar_mva_visualisatie,beschikbare_capaciteit_invoeding_huidig_mva_visualisatie,geometry
319,OS WORMERVEER,Liander,In Bedrijf,40.0,40.0,37.0,0.0,,,,,,,37,0,37,0,37,<2,21-04-2023,0,0,0,0,37,37,37,37,(4.798940375043156 52.488613396129715)
320,OS WOUDHUIS,Liander,In Bedrijf,73.0,73.0,0.0,0.0,,,,,,,0,0,0,0,16,<2,21-04-2023,0,0,0,0,0,0,16,0,(6.0351254998010075 52.19571827661967)
322,OS ZAANDAM NOORD,Liander,In Bedrijf,44.0,44.0,26.0,0.0,,2024,36,36,2026,2026,26,0,26,0,26,<2,21-04-2023,0,0,0,0,26,26,26,26,(4.81674414506658 52.458754454774756)
323,OS ZAANDAM WEST,Liander,In Bedrijf,51.0,51.0,46.0,0.0,,2022,30,30,2027,2027,46,0,46,0,46,<2,21-04-2023,0,0,0,0,46,46,46,46,(4.820564434520179 52.43202903551958)
324,OS ZAANDIJK,Liander,In Bedrijf,40.0,40.0,33.0,0.0,,2028,40,40,2030,2030,33,0,33,0,33,<2,21-04-2023,0,0,0,0,33,33,33,33,(4.803704994116627 52.46996247721354)
325,OS ZALTBOMMEL,Liander,In Bedrijf,210.0,210.0,0.0,0.0,,2022,80,80,2023,2023,0,0,0,0,126,91,21-04-2023,0,0,91,0,0,0,126,0,(5.278331148846569 51.80080974414682)
327,OS ZEEWOLDE,Liander,In Bedrijf,150.0,150.0,0.0,0.0,,,80,80,2024,2024,0,0,0,0,35,104,21-04-2023,0,0,104,0,0,0,35,0,(5.460131830377274 52.346021832412305)
328,OS ZEVENAAR,Liander,In Bedrijf,127.0,127.0,0.0,0.0,,2026,,,,,0,0,0,0,8,<2,21-04-2023,0,0,0,0,0,0,8,0,(6.103140869610812 51.926005716464964)
329,OS ZEVENHUIZEN,Liander,In Bedrijf,60.0,60.0,4.0,0.0,2031,2022,,,,,4,<2,4,<2,4,<2,21-04-2023,0,0,0,0,4,4,4,4,(4.584800051201484 52.02938413392382)
331,OS ZORGVLIED,Liander,In Bedrijf,176.0,176.0,176.0,79.0,,,,,,,176,79,176,79,176,79,21-04-2023,79,79,79,79,176,176,176,176,(4.888488662523548 52.336283820185216)
332,OS ZUIDBROEK,Liander,In Bedrijf,88.0,88.0,0.0,0.0,,,,,,,0,0,0,0,35,48,21-04-2023,0,0,48,0,0,0,35,0,(6.003163241996957 52.247211620254774)
333,OS ZUIDERVELD,Liander,In Bedrijf,69.0,69.0,0.0,0.0,2028,2022,,,,,0,0,0,0,<2,<2,21-04-2023,0,0,0,0,0,0,0,0,(5.514481621922658 52.49860510462408)
335,OS ZUTPHEN,Liander,In Bedrijf,121.0,121.0,0.0,0.0,,2023,80,80,2023,2023,0,0,0,0,114,102,21-04-2023,0,0,102,0,0,0,114,0,(6.22024135020762 52.14910425683373)
336,Riegmeer,RENDO,gepland,0.0,0.0,0.0,0.0,n.v.t.,n.v.t.,180,180,2028,2028,0,0,180,180,270,270,2023/04/23,0,180,270,0,0,180,270,0,(6.5151596763926936 52.7007367951857)
337,Alblasserwaard West 50 kV,Stedin,Bestaand,200.0,200.0,200.0,128.0,2050,2042,0,0,,,169,104,162,99,153,62,2023/04/23,104,99,62,128,169,162,153,200,(4.67404406432815 51.849306922874995)
338,Arkel 50 kV,Stedin,Bestaand,150.0,150.0,150.0,48.0,2042,2026,0,0,,,89,0,74,0,49,0,2023/04/23,0,0,0,48,89,74,49,150,(4.99070460590937 51.871862917854756)
339,Botlek 25 kV,Stedin,Bestaand,197.4,197.4,197.4,0.0,2050,2030,0,0,,,216,0,215,0,214,0,2023/04/23,0,0,0,0,216,215,214,197,(4.281660491656002 51.869882032462776)
340,Breukelen 50 kV,Stedin,Bestaand,100.0,100.0,0.0,0.0,2033,2033,0,0,,,0,0,0,0,0,0,2023/04/23,0,0,0,0,0,0,0,0,(4.992455965352902 52.18844202699965)
341,Cambron 50 kV,Stedin,Bestaand,32.0,32.0,21.0,9.0,2030,2030,0,0, , ,8,9,5,6,0,0,2023/04/23,9,6,0,9,8,5,0,21,(4.019771671089348 51.30716788952552)
342,Delft 1 25 kV,Stedin,Bestaand,187.0,187.0,187.0,46.0,2050,2028,113,113,2026,2026,293,123,280,104,259,53,2023/04/23,123,104,53,46,293,280,259,187,(4.367537256939933 51.989042208270206)
343,Delft 2 25 kV,Stedin,Bestaand,69.0,69.0,69.0,29.0,2050,2032,0,0,,,79,20,77,13,71,0,2023/04/23,20,13,0,29,79,77,71,69,(4.367235802644265 52.008698027698024)
344,Den Haag HVS Centrale 25 kV,Stedin,Bestaand,100.0,100.0,100.0,22.0,2050,2026,100,100,2027,2027,121,0,223,82,224,49,2023/04/23,0,82,49,22,121,223,224,100,(4.289630134079077 52.07703393491038)
345,Den Haag HVS Oost 25 kV,Stedin,Bestaand,261.0,261.0,261.0,109.0,2050,2036,0,0,,,301,79,286,60,259,16,2023/04/23,79,60,16,109,301,286,259,261,(4.337180854699607 52.07545382434593)
346,Den Haag HVS Zuid 25 kV,Stedin,Bestaand,261.0,261.0,261.0,111.0,2050,2034,0,0,,,290,80,279,66,255,2,2023/04/23,80,66,2,111,290,279,255,261,(4.293158094956926 52.04253186317115)
347,Den Haag HVS_Ypenburg 25 kV,Stedin,Bestaand,100.0,100.0,97.0,54.0,2050,2045,100,100,2032,2032,89,51,86,46,180,126,2023/04/23,51,46,126,54,89,86,180,97,(4.360220542375773 52.04278524638146)
348,Dordrecht Merwedehaven 50 kV,Stedin,Bestaand,225.0,225.0,225.0,92.0,2050,2030,0,0,,,196,35,179,18,152,0,2023/04/23,35,18,0,92,196,179,152,225,(4.70847053409943 51.81752046436905)
349,Dordrecht Sterrenburg 50 kV,Stedin,Bestaand,150.0,150.0,150.0,34.0,2026,2029,150,150,2032,2032,0,23,0,1,47,68,2023/04/23,23,1,68,34,0,0,47,150,(4.674373533049554 51.79088261065442)
350,Driebergen 50 kV,Stedin,Bestaand,86.0,86.0,0.0,0.0,2025,2027,100,100,2026,2026,0,0,0,0,18,24,2023/04/23,0,0,24,0,0,0,18,0,(5.2655273380848735 52.057499940585565)
351,Europoort 25 kV,Stedin,Bestaand,210.0,210.0,160.0,0.0,2050,2028,0,0,,,159,0,161,0,161,0,2023/04/23,0,0,0,0,159,161,161,160,(4.146589236893531 51.93870234107765)
352,Geervliet 25 kV,Stedin,Bestaand,120.0,120.0,106.0,0.0,2025,2029,120,120,2026,2026,111,0,96,0,71,63,2023/04/23,0,0,63,0,111,96,71,106,(4.2817550065996315 51.863078223318674)
353,Gerbrandyweg 25 kV,Stedin,Bestaand,39.0,39.0,5.0,0.0,2033,2023,100,100,2024,2024,104,0,102,0,99,12,2023/04/23,0,0,12,0,104,102,99,5,(4.273517291160456 51.89850704970548)
354,Gouda Ijsseldijk 50 kV,Stedin,Bestaand,200.0,200.0,185.0,48.0,2035,2028,0,0,,,101,12,69,0,11,0,2023/04/23,12,0,0,48,101,69,11,185,(4.7341104996318615 52.00774593654225)
355,Grindweg 25 kV,Stedin,Bestaand,40.0,40.0,40.0,5.0,2045,2027,0,0,,,36,0,32,0,27,0,2023/04/23,0,0,0,5,36,32,27,40,(4.496394411336001 51.96227741628574)
356,Hengelolaan 25 kV,Stedin,Bestaand,48.0,48.0,48.0,18.0,2050,2031,0,0,,,47,9,45,6,42,0,2023/04/23,9,6,0,18,47,45,42,48,(4.277376287593839 52.05232581310918)
357,Hoofdweg 25 kV,Stedin,Bestaand,40.0,40.0,40.0,20.0,2050,2050,0,0,,,46,15,46,15,44,10,2023/04/23,15,15,10,20,46,46,44,40,(4.5468466709062305 51.948752290752324)
358,Hoogvliet 25 kV,Stedin,Bestaand,52.0,52.0,52.0,36.0,2050,2050,0,0,,,55,24,53,24,49,16,2023/04/23,24,24,16,36,55,53,49,52,(4.356754369418277 51.87722571431078)
359,Klaaswaal 50 kV,Stedin,Bestaand,60.0,60.0,25.0,12.0,2023,2028,0,0,,,0,5,0,0,0,0,2023/04/23,5,0,0,12,0,0,0,25,(4.449047013493401 51.7686134526073)
360,Krimpen_Langeland 50 kV,Stedin,Bestaand,117.0,117.0,117.0,12.0,2031,2024,30,30,2026,2026,81,11,56,0,4,0,2023/04/23,11,0,0,12,81,56,4,117,(4.629148367974662 51.91079556716152)
361,Maasvlakte 66 66 kV,Stedin,Bestaand,150.0,150.0,137.0,125.0,2024,2031,220,220,2028,2028,0,31,192,252,154,197,2023/04/23,31,252,197,125,0,192,154,137,(4.024370242009441 51.955264727370555)
362,Middelharnis 50 kV,Stedin,Bestaand,320.0,320.0,0.0,0.0,2026,2050,120,120,2026,2026,117,0,112,0,103,352,2023/04/23,0,0,352,0,117,112,103,0,(4.201917195904202 51.746078020154634)
363,Nieuwegein 50 kV,Stedin,Bestaand,200.0,200.0,0.0,0.0,2030,2029,0,0,,,0,0,0,0,0,0,2023/04/23,0,0,0,0,0,0,0,0,(5.121655486200354 52.050783203521476)
364,OOLTGENSPLAAT 50 kV,Stedin,Bestaand,100.0,100.0,11.0,95.0,2050,2050,0,0,,,12,100,11,100,11,100,2023/04/23,100,100,100,95,12,11,11,11,(4.33267992595147 51.69904680657526)
365,Oudenrijn 50 kV,Stedin,Bestaand,120.0,120.0,0.0,0.0,2031,2032,150,150,2029,2029,0,0,0,0,126,131,2023/04/23,0,0,131,0,0,0,126,0,(5.054910823404439 52.065066803239894)
366,Rotterdam Benj Franklinklinstraat 25 kV,Stedin,Bestaand,300.0,300.0,300.0,188.0,2050,2040,0,0,,,286,157,270,137,238,69,2023/04/23,157,137,69,188,286,270,238,300,(4.42730252070042 51.911513549375215)
367,Rotterdam Doklaan 25 kV,Stedin,Bestaand,59.0,59.0,59.0,19.0,2050,2030,0,0,,,73,6,73,3,69,0,2023/04/23,6,3,0,19,73,73,69,59,(4.4613570166766845 51.89311707316865)
368,Rotterdam Ommoord 25 kV,Stedin,Bestaand,115.0,115.0,115.0,0.0,2050,2028,0,0,,,202,5,193,0,170,0,2023/04/23,5,0,0,0,202,193,170,115,(4.529467830382127 51.95541324155057)
369,Rotterdam Oudeland 25 kV,Stedin,Bestaand,75.0,75.0,69.0,0.0,2050,2026,25,25,2025,2025,92,0,88,0,80,0,2023/04/23,0,0,0,0,92,88,80,69,(4.362370924412963 51.87484784494334)
370,Rotterdam Waalhaven 25 kV,Stedin,Bestaand,182.0,182.0,182.0,75.0,2050,2038,0,0,,,191,53,183,42,164,15,2023/04/23,53,42,15,75,191,183,164,182,(4.426919737611915 51.88452598184736)
371,s Gravendeel 50 kV,Stedin,Bestaand,36.0,36.0,16.0,15.0,2024,2033,0,0,,,0,14,0,10,0,0,2023/04/23,14,10,0,15,0,0,0,16,(4.617405298062954 51.78512037950149)
372,Schiebroek 25 kV,Stedin,Bestaand,29.0,29.0,29.0,11.0,2050,2042,0,0,,,32,8,30,7,28,4,2023/04/23,8,7,4,11,32,30,28,29,(4.471942271002709 51.946934726640265)
373,Slikkerveer 50 kV,Stedin,Bestaand,65.0,65.0,65.0,18.0,2036,2025,0,0,,,40,0,29,0,9,0,2023/04/23,0,0,0,18,40,29,9,65,(4.616375937498885 51.885211756465914)
374,Soest 2 50 kV,Stedin,Bestaand,246.0,246.0,0.0,0.0,2036,2028,100,100,2031,2031,0,0,0,0,128,0,2023/04/23,0,0,0,0,0,0,128,0,(5.340898538813269 52.16708125884212)
375,Theemsweg 25 kV,Stedin,Bestaand,150.0,150.0,150.0,0.0,2050,2029,50,50,2024,2024,259,0,259,0,259,0,2023/04/23,0,0,0,0,259,259,259,150,(4.245752450863746 51.884667121223714)
376,Utrecht Lage weide 50 kV,Stedin,Bestaand,200.0,200.0,79.0,0.0,2050,2029,100,100,2025,2025,0,0,0,0,224,20,2023/04/23,0,0,20,0,0,0,224,79,(5.069371195946736 52.10291060643002)
377,Utrecht Merwede Kanaal 50 kV,Stedin,Bestaand,200.0,200.0,79.0,0.0,2050,2025,0,0,,,0,0,0,0,136,0,2023/04/23,0,0,0,0,0,0,136,79,(5.078197822513509 52.10133419051379)
378,Vlissingen-Oost  30 kV,Stedin,Bestaand,40.0,40.0,18.0,24.0,2025,2028,90,90,2029,2029,0,0,0,0,28,0,2023/04/23,0,0,0,24,0,0,28,18,(3.693378644872965 51.45084907751738)
379,Vondelingenweg 66 kV,Stedin,Bestaand,125.0,125.0,76.0,42.0,2050,2050,0,0,,,78,42,78,42,82,33,2023/04/23,42,42,33,42,78,78,82,76,(4.329314833138298 51.882384145369876)
380,Walburg 50 kV 50 kV,Stedin,Bestaand,75.0,75.0,75.0,21.0,2042,2029,0,0,,,64,13,56,5,42,0,2023/04/23,13,5,0,21,64,56,42,75,(4.660965636639583 51.82510120659945)
381,Westdorpe 50 kV,Stedin,Bestaand,120.0,120.0,73.0,34.0,2025,2030,60,60,2026,2026,,,,,,,2023/04/23,-1,-1,-1,34,-1,-1,-1,73,(3.8295279213518705 51.264627853610605)
382,Zamenhofstraat 25kV,Stedin,Bestaand,60.0,60.0,60.0,11.0,2050,2040,0,0,,,76,11,75,10,69,5,2023/04/23,11,10,5,11,76,75,69,60,(4.502577896163993 51.92464352297711)
383,Zoetermeer 10 25 kV,Stedin,Bestaand,66.0,66.0,58.0,12.0,2040,2028,0,0,,,42,7,42,0,33,0,2023/04/23,7,0,0,12,42,42,33,58,(4.491495961389207 52.04585234146496)
384,Zoetermeer 9 25 kV,Stedin,Bestaand,200.0,200.0,104.0,80.0,2032,2036,200,200,2030,2030,13,76,7,64,191,218,2023/04/23,76,64,218,80,13,7,191,104,(4.518134205825547 52.04334637327713)
385,33002,Westland Infra,Bestaand,0.0,13.0,18.0,6.0,n.v.t.,na 2031,,,,,,,,,,,2021/11/04,-1,-1,-1,6,-1,-1,-1,18,(4.263534818114083 51.92565349129225)
386,33063,Westland Infra,Bestaand,44.0,43.0,7.0,13.0,n.v.t.,na 2031,,,,,,,,,,,2021/11/04,-1,-1,-1,13,-1,-1,-1,7,(4.227249891328517 51.95164661464651)
387,35009,Westland Infra,Bestaand,0.0,9.0,9.0,5.0,n.v.t.,na 2031,,,,,,,,,,,2021/11/04,-1,-1,-1,5,-1,-1,-1,9,(4.234885515885857 51.97446813388173)
388,43003,Westland Infra,Bestaand,0.0,2.0,9.0,6.0,n.v.t.,na 2031,,,,,,,,,,,2021/11/04,-1,-1,-1,6,-1,-1,-1,9,(4.2817643981618865 52.01993722628944)
389,43027,Westland Infra,Bestaand,2.0,7.0,7.0,2.0,n.v.t.,na 2031,,,,,,,,,,,2021/11/04,-1,-1,-1,2,-1,-1,-1,7,(4.267655701373558 52.02788225950553)
390,43126,Westland Infra,Bestaand,23.0,21.0,25.0,22.0,n.v.t.,na 2031,,,,,,,,,,,2021/11/04,-1,-1,-1,22,-1,-1,-1,25,(4.2934383940264675 52.01351290060853)
391,44007,Westland Infra,Bestaand,1.0,18.0,25.0,11.0,n.v.t.,na 2031,15,7,2023,2023,15,7,6,,,,2021/11/04,7,-1,-1,11,15,6,-1,25,(4.2156777234025675 51.97494606702596)
392,44130,Westland Infra,Bestaand,1.0,8.0,15.0,8.0,n.v.t.,na 2031,,,,,,,,,,,2021/11/04,-1,-1,-1,8,-1,-1,-1,15,(4.224038670357895 51.99348506275314)
393,44140,Westland Infra,Bestaand,0.0,8.0,9.0,1.0,n.v.t.,2031,15,7,2023,2023,15,7,7,,,,2021/11/04,7,-1,-1,1,15,7,-1,9,(4.210939310670724 52.00103735541645)
394,44276,Westland Infra,Bestaand,204.0,131.0,116.0,193.0,n.v.t.,2030,,,,,,,,,,,2021/11/04,-1,-1,-1,193,-1,-1,-1,116,(4.222704738027046 51.98305475559423)
395,45004,Westland Infra,Bestaand,2.0,10.0,8.0,0.0,n.v.t.,2029,13,6,2022,2022,13,6,6,,,,2021/11/04,6,-1,-1,0,13,6,-1,8,(4.1646341714428114 52.02031691981804)
396,46003,Westland Infra,Bestaand,4.0,9.0,5.0,2.0,n.v.t.,na 2031,,,,,,,,,,,2021/11/04,-1,-1,-1,2,-1,-1,-1,5,(4.159860942257574 52.000278412262595)
397,46004,Westland Infra,Bestaand,0.0,8.0,9.0,4.0,n.v.t.,na 2031,,,,,,,,,,,2021/11/04,-1,-1,-1,4,-1,-1,-1,9,(4.172941359340883 51.995630755029616)
